"COLONY","ID","SPECIES","STAGE","TSECS","observedState","decodedState"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57229,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57230,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57231,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57232,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57233,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57234,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57235,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57236,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57237,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57238,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57239,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57240,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57241,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57242,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57243,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57244,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57245,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57246,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57247,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57248,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57249,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57250,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57251,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57252,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57253,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57254,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57255,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57256,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57257,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57258,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57259,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57260,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57261,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57262,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57263,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57264,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57265,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57266,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57267,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57268,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57269,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57270,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57271,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57272,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57273,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57274,"Foraging","Not-foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57275,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57276,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57277,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57278,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57279,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57280,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57281,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57282,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57283,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57284,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57285,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57286,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57287,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57288,"Foraging","Foraging"
"Cockle Island, Groomsport",12,"Arctic","Incubation",57289,"Foraging","Foraging"
