"COLONY","DATE","ID","SPECIES","TSECS","LATITUDE","LONGITUDE","CONTBEH","observed_state","DISTKM","DIST2COL","Complete"
"Glas Eileanan","2011-06-20",2,"C",39770,56.49084,-5.68651,"TS","Travelling",0.01094,1800.13796,1
"Glas Eileanan","2011-06-20",2,"C",39771,56.4908,-5.68635,"TS","Travelling",0.01094,1810.986,1
"Glas Eileanan","2011-06-20",2,"C",39772,56.49075,-5.68619,"TS","Travelling",0.01094,1821.83558,1
"Glas Eileanan","2011-06-20",2,"C",39773,56.49071,-5.68603,"TS","Travelling",0.01094,1832.68668,1
"Glas Eileanan","2011-06-20",2,"C",39774,56.49067,-5.68587,"TS","Travelling",0.01094,1843.53925,1
"Glas Eileanan","2011-06-20",2,"C",39775,56.49062,-5.68571,"TS","Travelling",0.01094,1854.39328,1
"Glas Eileanan","2011-06-20",2,"C",39776,56.49058,-5.68555,"TS","Travelling",0.01094,1865.24875,1
"Glas Eileanan","2011-06-20",2,"C",39777,56.49054,-5.68539,"TS","Travelling",0.01094,1876.10562,1
"Glas Eileanan","2011-06-20",2,"C",39778,56.49049,-5.68523,"TS","Travelling",0.01094,1886.96389,1
"Glas Eileanan","2011-06-20",2,"C",39779,56.49045,-5.68507,"TS","Travelling",0.01093,1897.82351,1
"Glas Eileanan","2011-06-20",2,"C",39780,56.4904,-5.68491,"TS","Travelling",0.01093,1908.52098,1
"Glas Eileanan","2011-06-20",2,"C",39781,56.49035,-5.68476,"TS","Travelling",0.01093,1919.2215,1
"Glas Eileanan","2011-06-20",2,"C",39782,56.4903,-5.68461,"TS","Travelling",0.01093,1929.92502,1
"Glas Eileanan","2011-06-20",2,"C",39783,56.49025,-5.68445,"TS","Travelling",0.01093,1940.63148,1
"Glas Eileanan","2011-06-20",2,"C",39784,56.4902,-5.6843,"TS","Travelling",0.01093,1951.34083,1
"Glas Eileanan","2011-06-20",2,"C",39785,56.49015,-5.68415,"TS","Travelling",0.01093,1962.05304,1
"Glas Eileanan","2011-06-20",2,"C",39786,56.4901,-5.68399,"TS","Travelling",0.01093,1972.76805,1
"Glas Eileanan","2011-06-20",2,"C",39787,56.49005,-5.68384,"TS","Travelling",0.01093,1983.48581,1
"Glas Eileanan","2011-06-20",2,"C",39788,56.49,-5.68369,"TS","Travelling",0.01093,1994.20628,1
"Glas Eileanan","2011-06-20",2,"C",39789,56.48995,-5.68353,"TS","Travelling",0.01093,2004.92943,1
"Glas Eileanan","2011-06-20",2,"C",39790,56.4899,-5.68338,"TS","Travelling",0.01093,2015.6552,1
"Glas Eileanan","2011-06-20",2,"C",39791,56.48985,-5.68323,"TS","Travelling",0.01093,2026.38356,1
"Glas Eileanan","2011-06-20",2,"C",39792,56.4898,-5.68307,"TS","Travelling",0.01093,2037.11446,1
"Glas Eileanan","2011-06-20",2,"C",39793,56.48975,-5.68292,"TS","Travelling",0.01093,2047.84787,1
"Glas Eileanan","2011-06-20",2,"C",39794,56.4897,-5.68277,"TS","Travelling",0.01093,2058.58375,1
"Glas Eileanan","2011-06-20",2,"C",39795,56.48965,-5.68261,"TS","Travelling",0.01093,2069.32204,1
"Glas Eileanan","2011-06-20",2,"C",39796,56.4896,-5.68246,"TS","Travelling",0.01093,2080.06274,1
"Glas Eileanan","2011-06-20",2,"C",39797,56.48955,-5.68231,"TS","Travelling",0.01093,2090.80578,1
"Glas Eileanan","2011-06-20",2,"C",39798,56.4895,-5.68215,"TS","Travelling",0.01093,2101.55114,1
"Glas Eileanan","2011-06-20",2,"C",39799,56.48945,-5.682,"TS","Travelling",0.01093,2112.29879,1
"Glas Eileanan","2011-06-20",2,"C",39800,56.4894,-5.68184,"TS","Travelling",0.01093,2123.12091,1
"Glas Eileanan","2011-06-20",2,"C",39801,56.48936,-5.68169,"TS","Travelling",0.01093,2133.94448,1
