"ID","TSECS","SPECIES","LONGITUDE","LATITUDE","observed_behaviour","decState","Col_obState","Col_decState"
24,43092,"C",-5.46984,56.50929,"Travelling","Travelling","blue","blue"
24,43093,"C",-5.46998,56.50927,"Travelling","Travelling","blue","blue"
24,43094,"C",-5.47012,56.50925,"Travelling","Travelling","blue","blue"
24,43095,"C",-5.47024,56.50921,"Travelling","Travelling","blue","blue"
24,43096,"C",-5.47037,56.50917,"Travelling","Travelling","blue","blue"
24,43097,"C",-5.4705,56.50913,"Travelling","Travelling","blue","blue"
24,43098,"C",-5.47062,56.50908,"Travelling","Travelling","blue","blue"
24,43099,"C",-5.47073,56.50903,"Travelling","Travelling","blue","blue"
24,43100,"C",-5.47085,56.50898,"Travelling","Travelling","blue","blue"
24,43101,"C",-5.47093,56.50892,"Travelling","Travelling","blue","blue"
24,43102,"C",-5.47102,56.50886,"Travelling","Travelling","blue","blue"
24,43103,"C",-5.4711,56.5088,"Travelling","Travelling","blue","blue"
24,43104,"C",-5.47114,56.50872,"Travelling","Travelling","blue","blue"
24,43105,"C",-5.47119,56.50864,"Travelling","Travelling","blue","blue"
24,43106,"C",-5.47123,56.50857,"Travelling","Travelling","blue","blue"
24,43107,"C",-5.47123,56.50849,"Travelling","Travelling","blue","blue"
24,43108,"C",-5.47123,56.50841,"Travelling","Travelling","blue","blue"
24,43109,"C",-5.47123,56.50833,"Travelling","Travelling","blue","blue"
24,43110,"C",-5.47121,56.50825,"Travelling","Travelling","blue","blue"
24,43111,"C",-5.47118,56.50817,"Travelling","Travelling","blue","blue"
24,43112,"C",-5.47115,56.50808,"Travelling","Travelling","blue","blue"
24,43113,"C",-5.47112,56.50801,"Travelling","Travelling","blue","blue"
24,43114,"C",-5.47108,56.50793,"Travelling","Travelling","blue","blue"
24,43115,"C",-5.47105,56.50785,"Travelling","Travelling","blue","blue"
24,43116,"C",-5.47101,56.50777,"Travelling","Travelling","blue","blue"
24,43117,"C",-5.47097,56.50769,"Travelling","Travelling","blue","blue"
24,43118,"C",-5.47093,56.50762,"Travelling","Travelling","blue","blue"
24,43119,"C",-5.4709,56.50753,"Travelling","Travelling","blue","blue"
24,43120,"C",-5.47087,56.50745,"Travelling","Travelling","blue","blue"
24,43121,"C",-5.47083,56.50737,"Travelling","Travelling","blue","blue"
24,43122,"C",-5.4708,56.50729,"Travelling","Travelling","blue","blue"
24,43123,"C",-5.47077,56.50721,"Travelling","Travelling","blue","blue"
24,43124,"C",-5.47073,56.50713,"Travelling","Travelling","blue","blue"
24,43125,"C",-5.47072,56.50705,"Travelling","Travelling","blue","blue"
24,43126,"C",-5.47071,56.50697,"Travelling","Travelling","blue","blue"
24,43127,"C",-5.4707,56.50688,"Travelling","Travelling","blue","blue"
24,43128,"C",-5.4707,56.5068,"Travelling","Travelling","blue","blue"
24,43129,"C",-5.4707,56.50672,"Travelling","Travelling","blue","blue"
24,43130,"C",-5.4707,56.50663,"Travelling","Travelling","blue","blue"
24,43131,"C",-5.47071,56.50655,"Travelling","Travelling","blue","blue"
24,43132,"C",-5.47072,56.50647,"Travelling","Travelling","blue","blue"
24,43133,"C",-5.47073,56.50638,"Travelling","Travelling","blue","blue"
24,43134,"C",-5.47075,56.5063,"Travelling","Travelling","blue","blue"
24,43135,"C",-5.47077,56.50622,"Travelling","Travelling","blue","blue"
24,43136,"C",-5.47078,56.50613,"Travelling","Travelling","blue","blue"
24,43137,"C",-5.47082,56.50605,"Travelling","Travelling","blue","blue"
24,43138,"C",-5.47085,56.50597,"Travelling","Travelling","blue","blue"
24,43139,"C",-5.47088,56.50588,"Travelling","Travelling","blue","blue"
24,43140,"C",-5.47093,56.50581,"Travelling","Travelling","blue","blue"
24,43141,"C",-5.47098,56.50573,"Travelling","Travelling","blue","blue"
24,43142,"C",-5.47103,56.50565,"Travelling","Travelling","blue","blue"
24,43143,"C",-5.4711,56.50558,"Travelling","Travelling","blue","blue"
24,43144,"C",-5.47117,56.50551,"Travelling","Travelling","blue","blue"
24,43145,"C",-5.47123,56.50543,"Travelling","Travelling","blue","blue"
24,43146,"C",-5.47132,56.50537,"Travelling","Travelling","blue","blue"
24,43147,"C",-5.47141,56.5053,"Travelling","Travelling","blue","blue"
24,43148,"C",-5.4715,56.50523,"Travelling","Travelling","blue","blue"
24,43149,"C",-5.47161,56.50518,"Travelling","Travelling","blue","blue"
24,43150,"C",-5.47172,56.50512,"Travelling","Travelling","blue","blue"
24,43151,"C",-5.47183,56.50507,"Travelling","Travelling","blue","blue"
24,43152,"C",-5.47198,56.50504,"Travelling","Travelling","blue","blue"
24,43153,"C",-5.47212,56.50501,"Travelling","Travelling","blue","blue"
24,43154,"C",-5.47227,56.50498,"Travelling","Travelling","blue","blue"
24,43155,"C",-5.47242,56.50497,"Travelling","Travelling","blue","blue"
24,43156,"C",-5.47258,56.50495,"Travelling","Travelling","blue","blue"
24,43157,"C",-5.47273,56.50493,"Travelling","Travelling","blue","blue"
24,43158,"C",-5.47289,56.50492,"Travelling","Travelling","blue","blue"
24,43159,"C",-5.47306,56.5049,"Travelling","Travelling","blue","blue"
24,43160,"C",-5.47322,56.50488,"Travelling","Travelling","blue","blue"
24,43161,"C",-5.47337,56.50484,"Travelling","Travelling","blue","blue"
24,43162,"C",-5.47352,56.50481,"Travelling","Travelling","blue","blue"
24,43163,"C",-5.47367,56.50477,"Travelling","Travelling","blue","blue"
24,43164,"C",-5.47381,56.50472,"Travelling","Travelling","blue","blue"
24,43165,"C",-5.47396,56.50467,"Travelling","Travelling","blue","blue"
24,43166,"C",-5.4741,56.50462,"Travelling","Travelling","blue","blue"
24,43167,"C",-5.47423,56.50456,"Travelling","Travelling","blue","blue"
24,43168,"C",-5.47436,56.50451,"Travelling","Travelling","blue","blue"
24,43169,"C",-5.47448,56.50445,"Travelling","Travelling","blue","blue"
24,43170,"C",-5.47461,56.50438,"Travelling","Travelling","blue","blue"
24,43171,"C",-5.47473,56.50431,"Travelling","Travelling","blue","blue"
24,43172,"C",-5.47485,56.50423,"Travelling","Travelling","blue","blue"
24,43173,"C",-5.47497,56.50416,"Travelling","Travelling","blue","blue"
24,43174,"C",-5.47509,56.50409,"Travelling","Travelling","blue","blue"
24,43175,"C",-5.47522,56.50402,"Travelling","Travelling","blue","blue"
24,43176,"C",-5.47533,56.50394,"Travelling","Travelling","blue","blue"
24,43177,"C",-5.47544,56.50386,"Travelling","Travelling","blue","blue"
24,43178,"C",-5.47555,56.50378,"Travelling","Travelling","blue","blue"
24,43179,"C",-5.47564,56.50369,"Travelling","Travelling","blue","blue"
24,43180,"C",-5.47573,56.50361,"Travelling","Travelling","blue","blue"
24,43181,"C",-5.47582,56.50352,"Travelling","Travelling","blue","blue"
24,43182,"C",-5.4759,56.50343,"Travelling","Travelling","blue","blue"
24,43183,"C",-5.47598,56.50334,"Travelling","Travelling","blue","blue"
24,43184,"C",-5.47607,56.50325,"Travelling","Travelling","blue","blue"
24,43185,"C",-5.47613,56.50316,"Travelling","Travelling","blue","blue"
24,43186,"C",-5.4762,56.50306,"Travelling","Travelling","blue","blue"
24,43187,"C",-5.47627,56.50297,"Travelling","Travelling","blue","blue"
24,43188,"C",-5.47633,56.50287,"Travelling","Travelling","blue","blue"
24,43189,"C",-5.47639,56.50277,"Travelling","Travelling","blue","blue"
24,43190,"C",-5.47645,56.50267,"Travelling","Travelling","blue","blue"
