"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33295,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33296,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33297,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33298,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33299,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33300,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33301,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33302,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33303,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33304,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33305,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33306,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33307,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33308,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33309,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33310,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33311,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33312,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33313,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33314,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33315,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33316,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33317,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33318,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33319,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33320,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33321,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33322,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33323,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33324,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33325,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33326,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33327,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33328,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33329,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33330,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33331,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33332,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33333,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33334,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33335,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33336,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33337,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33338,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33339,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33340,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33341,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33342,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33343,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33344,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33345,"Not-foraging","Not-foraging"
