"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",36322,"Not-foraging","Not-foraging"
2,"Sandwich",36323,"Not-foraging","Not-foraging"
2,"Sandwich",36324,"Not-foraging","Not-foraging"
2,"Sandwich",36325,"Not-foraging","Not-foraging"
2,"Sandwich",36326,"Not-foraging","Not-foraging"
2,"Sandwich",36327,"Not-foraging","Not-foraging"
2,"Sandwich",36328,"Not-foraging","Not-foraging"
2,"Sandwich",36329,"Not-foraging","Not-foraging"
2,"Sandwich",36330,"Not-foraging","Not-foraging"
2,"Sandwich",36331,"Not-foraging","Not-foraging"
2,"Sandwich",36332,"Not-foraging","Not-foraging"
2,"Sandwich",36333,"Not-foraging","Not-foraging"
2,"Sandwich",36334,"Not-foraging","Not-foraging"
2,"Sandwich",36335,"Not-foraging","Not-foraging"
2,"Sandwich",36336,"Not-foraging","Not-foraging"
2,"Sandwich",36337,"Not-foraging","Not-foraging"
2,"Sandwich",36338,"Not-foraging","Foraging"
2,"Sandwich",36339,"Not-foraging","Not-foraging"
2,"Sandwich",36340,"Not-foraging","Not-foraging"
2,"Sandwich",36341,"Not-foraging","Not-foraging"
2,"Sandwich",36342,"Not-foraging","Not-foraging"
2,"Sandwich",36343,"Not-foraging","Not-foraging"
2,"Sandwich",36344,"Not-foraging","Foraging"
2,"Sandwich",36345,"Not-foraging","Not-foraging"
2,"Sandwich",36346,"Not-foraging","Not-foraging"
2,"Sandwich",36347,"Not-foraging","Not-foraging"
2,"Sandwich",36348,"Not-foraging","Not-foraging"
2,"Sandwich",36349,"Not-foraging","Not-foraging"
2,"Sandwich",36350,"Not-foraging","Not-foraging"
2,"Sandwich",36351,"Not-foraging","Not-foraging"
2,"Sandwich",36352,"Not-foraging","Not-foraging"
2,"Sandwich",36353,"Not-foraging","Foraging"
2,"Sandwich",36354,"Not-foraging","Foraging"
2,"Sandwich",36355,"Not-foraging","Foraging"
2,"Sandwich",36356,"Not-foraging","Foraging"
2,"Sandwich",36357,"Not-foraging","Not-foraging"
2,"Sandwich",36358,"Not-foraging","Not-foraging"
2,"Sandwich",36359,"Not-foraging","Not-foraging"
2,"Sandwich",36360,"Not-foraging","Not-foraging"
2,"Sandwich",36361,"Not-foraging","Not-foraging"
2,"Sandwich",36362,"Not-foraging","Not-foraging"
2,"Sandwich",36363,"Not-foraging","Not-foraging"
2,"Sandwich",36364,"Not-foraging","Not-foraging"
2,"Sandwich",36365,"Not-foraging","Not-foraging"
2,"Sandwich",36366,"Not-foraging","Not-foraging"
2,"Sandwich",36367,"Not-foraging","Not-foraging"
2,"Sandwich",36368,"Not-foraging","Foraging"
2,"Sandwich",36369,"Not-foraging","Foraging"
2,"Sandwich",36370,"Not-foraging","Foraging"
2,"Sandwich",36371,"Not-foraging","Foraging"
2,"Sandwich",36372,"Not-foraging","Foraging"
2,"Sandwich",36373,"Not-foraging","Foraging"
2,"Sandwich",36374,"Not-foraging","Foraging"
2,"Sandwich",36375,"Not-foraging","Foraging"
2,"Sandwich",36376,"Not-foraging","Foraging"
2,"Sandwich",36377,"Not-foraging","Foraging"
2,"Sandwich",36378,"Not-foraging","Foraging"
2,"Sandwich",36379,"Not-foraging","Foraging"
2,"Sandwich",36380,"Not-foraging","Foraging"
2,"Sandwich",36381,"Not-foraging","Foraging"
2,"Sandwich",36382,"Not-foraging","Foraging"
2,"Sandwich",36383,"Not-foraging","Foraging"
2,"Sandwich",36384,"Not-foraging","Foraging"
2,"Sandwich",36385,"Not-foraging","Foraging"
2,"Sandwich",36386,"Not-foraging","Foraging"
2,"Sandwich",36387,"Not-foraging","Not-foraging"
2,"Sandwich",36388,"Not-foraging","Not-foraging"
2,"Sandwich",36389,"Not-foraging","Not-foraging"
2,"Sandwich",36390,"Not-foraging","Not-foraging"
