"ID","SPECIES","TSECS_GMT","observedState","decodedState"
2,"C",34343,"Foraging","Foraging"
2,"C",34344,"Foraging","Foraging"
2,"C",34345,"Foraging","Foraging"
2,"C",34346,"Foraging","Foraging"
2,"C",34347,"Foraging","Foraging"
2,"C",34348,"Foraging","Foraging"
2,"C",34349,"Foraging","Foraging"
2,"C",34350,"Foraging","Foraging"
2,"C",34351,"Foraging","Foraging"
2,"C",34352,"Foraging","Foraging"
2,"C",34353,"Foraging","Foraging"
2,"C",34354,"Foraging","Foraging"
2,"C",34355,"Foraging","Foraging"
2,"C",34356,"Foraging","Foraging"
2,"C",34357,"Foraging","Foraging"
2,"C",34358,"Foraging","Foraging"
2,"C",34359,"Foraging","Foraging"
2,"C",34360,"Foraging","Foraging"
2,"C",34361,"Foraging","Foraging"
2,"C",34362,"Foraging","Foraging"
2,"C",34363,"Foraging","Foraging"
2,"C",34364,"Foraging","Foraging"
2,"C",34365,"Foraging","Foraging"
2,"C",34366,"Foraging","Foraging"
2,"C",34367,"Foraging","Foraging"
2,"C",34368,"Foraging","Foraging"
2,"C",34369,"Foraging","Foraging"
2,"C",34370,"Foraging","Foraging"
2,"C",34371,"Foraging","Foraging"
2,"C",34372,"Foraging","Foraging"
2,"C",34373,"Foraging","Foraging"
2,"C",34374,"Foraging","Foraging"
2,"C",34375,"Foraging","Foraging"
2,"C",34376,"Foraging","Foraging"
2,"C",34377,"Foraging","Foraging"
2,"C",34378,"Foraging","Foraging"
2,"C",34379,"Foraging","Foraging"
2,"C",34380,"Foraging","Foraging"
2,"C",34381,"Foraging","Foraging"
2,"C",34382,"Foraging","Foraging"
2,"C",34383,"Foraging","Foraging"
2,"C",34384,"Foraging","Foraging"
2,"C",34385,"Foraging","Foraging"
2,"C",34386,"Foraging","Foraging"
2,"C",34387,"Foraging","Foraging"
2,"C",34388,"Foraging","Foraging"
2,"C",34389,"Foraging","Foraging"
2,"C",34390,"Foraging","Foraging"
2,"C",34391,"Foraging","Foraging"
2,"C",34392,"Foraging","Foraging"
2,"C",34393,"Foraging","Foraging"
2,"C",34394,"Foraging","Foraging"
2,"C",34395,"Foraging","Foraging"
2,"C",34396,"Foraging","Foraging"
2,"C",34397,"Foraging","Foraging"
2,"C",34398,"Foraging","Foraging"
2,"C",34399,"Foraging","Foraging"
2,"C",34400,"Foraging","Foraging"
2,"C",34401,"Foraging","Foraging"
2,"C",34402,"Foraging","Foraging"
2,"C",34403,"Foraging","Foraging"
2,"C",34404,"Foraging","Foraging"
2,"C",34405,"Foraging","Foraging"
2,"C",34406,"Foraging","Foraging"
2,"C",34407,"Foraging","Foraging"
2,"C",34408,"Foraging","Foraging"
2,"C",34409,"Foraging","Foraging"
2,"C",34410,"Foraging","Foraging"
2,"C",34411,"Foraging","Foraging"
2,"C",34412,"Foraging","Foraging"
2,"C",34413,"Foraging","Foraging"
2,"C",34414,"Foraging","Foraging"
2,"C",34415,"Foraging","Foraging"
2,"C",34416,"Foraging","Foraging"
2,"C",34417,"Foraging","Foraging"
2,"C",34418,"Foraging","Foraging"
2,"C",34419,"Foraging","Foraging"
2,"C",34420,"Foraging","Foraging"
2,"C",34421,"Foraging","Foraging"
2,"C",34422,"Foraging","Foraging"
2,"C",34423,"Foraging","Foraging"
2,"C",34424,"Foraging","Foraging"
2,"C",34425,"Foraging","Foraging"
2,"C",34426,"Foraging","Foraging"
2,"C",34427,"Foraging","Foraging"
2,"C",34428,"Foraging","Foraging"
2,"C",34429,"Foraging","Foraging"
2,"C",34430,"Foraging","Foraging"
2,"C",34431,"Foraging","Foraging"
2,"C",34432,"Foraging","Foraging"
2,"C",34433,"Foraging","Foraging"
2,"C",34434,"Foraging","Foraging"
2,"C",34435,"Foraging","Foraging"
2,"C",34436,"Foraging","Foraging"
2,"C",34437,"Foraging","Foraging"
2,"C",34438,"Foraging","Foraging"
