"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"Glas Eileanan",2,"C",39969,"Foraging","Foraging"
"Glas Eileanan",2,"C",39970,"Foraging","Foraging"
"Glas Eileanan",2,"C",39971,"Foraging","Foraging"
"Glas Eileanan",2,"C",39972,"Foraging","Foraging"
"Glas Eileanan",2,"C",39973,"Foraging","Foraging"
"Glas Eileanan",2,"C",39974,"Foraging","Foraging"
"Glas Eileanan",2,"C",39975,"Foraging","Foraging"
"Glas Eileanan",2,"C",39976,"Foraging","Foraging"
"Glas Eileanan",2,"C",39977,"Foraging","Foraging"
"Glas Eileanan",2,"C",39978,"Foraging","Foraging"
"Glas Eileanan",2,"C",39979,"Foraging","Foraging"
"Glas Eileanan",2,"C",39980,"Foraging","Foraging"
"Glas Eileanan",2,"C",39981,"Foraging","Foraging"
"Glas Eileanan",2,"C",39982,"Foraging","Foraging"
"Glas Eileanan",2,"C",39983,"Foraging","Foraging"
"Glas Eileanan",2,"C",39984,"Foraging","Foraging"
"Glas Eileanan",2,"C",39985,"Foraging","Foraging"
"Glas Eileanan",2,"C",39986,"Foraging","Foraging"
"Glas Eileanan",2,"C",39987,"Foraging","Foraging"
"Glas Eileanan",2,"C",39988,"Foraging","Foraging"
"Glas Eileanan",2,"C",39989,"Foraging","Foraging"
"Glas Eileanan",2,"C",39990,"Foraging","Foraging"
"Glas Eileanan",2,"C",39991,"Foraging","Foraging"
"Glas Eileanan",2,"C",39992,"Foraging","Foraging"
"Glas Eileanan",2,"C",39993,"Foraging","Foraging"
"Glas Eileanan",2,"C",39994,"Foraging","Foraging"
"Glas Eileanan",2,"C",39995,"Foraging","Foraging"
"Glas Eileanan",2,"C",39996,"Foraging","Foraging"
"Glas Eileanan",2,"C",39997,"Foraging","Foraging"
"Glas Eileanan",2,"C",39998,"Foraging","Foraging"
"Glas Eileanan",2,"C",39999,"Foraging","Foraging"
"Glas Eileanan",2,"C",40000,"Foraging","Foraging"
"Glas Eileanan",2,"C",40001,"Foraging","Foraging"
"Glas Eileanan",2,"C",40002,"Foraging","Foraging"
"Glas Eileanan",2,"C",40003,"Foraging","Foraging"
"Glas Eileanan",2,"C",40004,"Foraging","Foraging"
"Glas Eileanan",2,"C",40005,"Foraging","Foraging"
"Glas Eileanan",2,"C",40006,"Foraging","Foraging"
"Glas Eileanan",2,"C",40007,"Foraging","Foraging"
"Glas Eileanan",2,"C",40008,"Foraging","Foraging"
"Glas Eileanan",2,"C",40009,"Foraging","Foraging"
"Glas Eileanan",2,"C",40010,"Foraging","Foraging"
"Glas Eileanan",2,"C",40011,"Foraging","Foraging"
"Glas Eileanan",2,"C",40012,"Foraging","Foraging"
"Glas Eileanan",2,"C",40013,"Foraging","Foraging"
"Glas Eileanan",2,"C",40014,"Foraging","Foraging"
"Glas Eileanan",2,"C",40015,"Foraging","Foraging"
"Glas Eileanan",2,"C",40016,"Foraging","Foraging"
"Glas Eileanan",2,"C",40017,"Foraging","Foraging"
"Glas Eileanan",2,"C",40018,"Foraging","Foraging"
"Glas Eileanan",2,"C",40019,"Foraging","Foraging"
"Glas Eileanan",2,"C",40020,"Foraging","Foraging"
"Glas Eileanan",2,"C",40021,"Foraging","Foraging"
"Glas Eileanan",2,"C",40022,"Foraging","Foraging"
"Glas Eileanan",2,"C",40023,"Foraging","Foraging"
"Glas Eileanan",2,"C",40024,"Foraging","Foraging"
"Glas Eileanan",2,"C",40025,"Foraging","Foraging"
"Glas Eileanan",2,"C",40026,"Foraging","Foraging"
"Glas Eileanan",2,"C",40027,"Foraging","Foraging"
"Glas Eileanan",2,"C",40028,"Foraging","Foraging"
"Glas Eileanan",2,"C",40029,"Foraging","Foraging"
