"COLONY","ID","SPECIES","TSECS","observedState","decodedState"
"SOUTH SHIAN",24,"C",43050,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43051,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43052,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43053,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43054,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43055,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43056,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43057,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43058,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43059,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43060,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43061,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43062,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43063,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43064,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43065,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43066,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43067,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43068,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43069,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43070,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43071,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43072,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43073,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43074,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43075,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43076,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43077,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43078,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43079,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43080,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43081,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43082,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43083,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43084,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43085,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43086,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43087,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43088,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43089,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43090,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43091,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43092,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43093,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43094,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43095,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43096,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43097,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43098,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43099,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43100,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43101,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43102,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43103,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43104,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43105,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43106,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43107,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43108,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43109,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43110,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43111,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43112,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43113,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43114,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43115,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43116,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43117,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43118,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43119,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43120,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43121,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43122,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43123,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43124,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43125,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43126,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43127,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43128,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43129,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43130,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43131,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43132,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43133,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43134,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43135,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43136,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43137,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43138,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43139,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43140,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43141,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43142,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43143,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43144,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43145,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43146,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43147,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43148,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43149,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43150,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43151,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43152,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43153,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43154,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43155,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43156,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43157,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43158,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43159,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43160,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43161,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43162,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43163,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43164,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43165,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43166,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43167,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43168,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43169,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43170,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43171,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43172,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43173,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43174,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43175,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43176,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43177,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43178,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43179,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43180,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43181,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43182,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43183,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43184,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43185,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43186,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43187,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43188,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43189,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43190,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43191,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43192,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43193,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43194,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43195,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43196,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43197,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43198,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43199,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43200,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43201,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43202,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43203,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43204,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43205,"Not-foraging","Not-foraging"
"SOUTH SHIAN",24,"C",43206,"Not-foraging","Not-foraging"
